"","CODE","LAT","LONG","POPULATION"
"248","G0Y",45.848900952381,-71.1481028095238,9295
"249","G0Z",46.2760655263158,-72.138083,8495
"250","G1A",46.8113260961538,-71.2298663846154,0
"251","G1B",46.9030856422183,-71.2103789338104,15866
"252","G1C",46.8842104381779,-71.1838452248735,36498
"253","G1E",46.8692990462882,-71.1789737641921,24827
"254","G1G",46.874913515493,-71.2796811765258,23924
"255","G1H",46.8529315510549,-71.260940942616,29045
"256","G1J",46.8372286246914,-71.2267807074074,22758
"257","G1K",46.8130567921071,-71.2272021994362,18459
"258","G1L",46.8322339088435,-71.2328785306122,23030
"259","G1M",46.8170101786942,-71.2669721701031,19954
"260","G1N",46.8021528577778,-71.2605173214815,8108
"261","G1P",46.8081107611276,-71.3150986913947,16406
"262","G1R",46.8108055964912,-71.2171632905702,16413
"263","G1S",46.7942660658436,-71.2459428504801,24806
"264","G1T",46.7735768804665,-71.2669793790087,6725
"265","G1V",46.7780944808959,-71.2882091449275,19435
"266","G1W",46.7639341266491,-71.2899321147757,20633
"267","G1X",46.7741903204005,-71.3265357209011,26006
"268","G1Y",46.756964872549,-71.3520638862745,12962
"269","G2A",46.8560869701987,-71.3627317450331,14914
"270","G2B",46.8450641988827,-71.3472977698324,23365
"271","G2C",46.8303999602649,-71.3283628907285,10362
"272","G2E",46.8065172594872,-71.357120508718,20940
"273","G2G",46.7828010856423,-71.3715825843829,10061
"274","G2J",46.8432662235294,-71.2842504117647,3046
"275","G2K",46.8451191380471,-71.3017328249158,9251
"276","G2L",46.8808580059406,-71.2592328792079,13466
"277","G2M",46.9113545217391,-71.303850951087,4718
"278","G2N",46.9076951329305,-71.3187492054381,7745
"279","G3A",46.7415285193965,-71.4300105948276,18553
"280","G3B",46.9550891809955,-71.2978407873303,7426
"281","G3C",47.0044583527132,-71.3727924108527,7662
"282","G3E",46.8742638586956,-71.331812884058,14267
"283","G3G",46.8997100352113,-71.3702109600939,9898
"284","G3H",46.7626209501845,-71.6857787933579,8705
"285","G3J",46.8623640826446,-71.4383589173554,9189
"286","G3K",46.845506296,-71.409369904,16249
"287","G3L",46.8918165064935,-71.8178407714286,9632
"288","G3M",46.6768038149171,-71.7277146104972,6242
"289","G3N",46.8641698128544,-71.6041542665406,8170
"290","G3Z",47.426507595843,-70.5410525381062,7337
"291","G4A",47.6959486304348,-70.2276340543478,3118
"292","G4R",50.2095147721661,-66.3746655959596,21117
"293","G4S",50.2551426069652,-66.4047470497512,5285
"294","G4T",47.378221190352,-61.8560659035202,12781
"295","G4V",49.1296937762097,-66.4750068205645,7149
"296","G4W",48.8405892260766,-67.5175759665072,14471
"297","G4X",48.8794518062016,-64.4617468914729,15163
"298","G4Z",49.2179053850129,-68.1706430826873,10105
"299","G5A",47.6681478152425,-70.1389317321016,8895
"300","G5B",50.0208117329377,-66.8905160623145,6149
"301","G5C",49.1943234732824,-68.2720513854962,12094
"302","G5H",48.5873015506993,-68.1907086293706,7184
"303","G5J",48.4669100745098,-67.432774954902,6330
"304","G5L",48.4428326048064,-68.5353392817089,29801
"305","G5M",48.4823871097046,-68.4857199620253,6335
"306","G5N",48.3942197197802,-68.4959880164835,7821
"307","G5R",47.8280127990099,-69.5312717534653,19452
"308","G5T",47.5425483333333,-68.6633709195402,3052
"309","G5V",46.9783556374269,-70.5582321403509,11485
"310","G5X",46.2121375790514,-70.7754341284585,6363
"311","G5Y",46.1160187402597,-70.6768255367965,22925
"312","G5Z",46.1021072763158,-70.6594577039474,6347
"313","G6A",46.1346247798165,-70.6722323394495,2033
"314","G6B",45.5803763614191,-70.888061924612,8403
"315","G6C",46.7594680357143,-71.1293848511905,6968
"316","G6E",46.4461093500785,-71.0247610973312,12803
"317","G6G",46.1012167132921,-71.299366053323,19801
"318","G6H",46.0892424828244,-71.3125939045802,7344
"319","G6J",46.6571640084034,-71.3070169957983,9902
"320","G6K",46.7066223865031,-71.2972245214724,7831
"321","G6L",46.2027606497175,-71.8141921581921,15013
"322","G6P",46.0553834271845,-71.9544628507281,29841
"323","G6R",46.0319703222222,-71.969788962963,4161
"324","G6S",46.0527141121495,-71.9080983084112,4204
"325","G6T",46.0709559226804,-71.9713443041237,8147
"326","G6V",46.8107928501229,-71.1667344355037,36379
"327","G6W",46.7484105238095,-71.234349612651,23480
"328","G6X",46.7168857250996,-71.267497563745,10078
"329","G6Z",46.7223940469388,-71.2002618265306,18374
"330","G7A",46.7018292640187,-71.3505848936916,20458
"331","G7B",48.3273378653846,-70.8883571414835,17767
"332","G7G",48.4449623159851,-71.0682771276332,16539
"333","G7H",48.4147196699396,-71.0508081616314,29025
"334","G7J",48.4149274855967,-71.0861871893004,14790
"335","G7K",48.393636859375,-71.13833340625,613
"336","G7N",48.3214125117371,-71.1210130704225,5979
"337","G7P",48.5196967564767,-71.2998070751295,6673
"338","G7S",48.4193493336864,-71.1771093972458,20142
"339","G7T",48.4008675714286,-71.1831511428571,106
"340","G7X",48.4131297039711,-71.2475097496992,26162
"341","G7Y",48.3810725714286,-71.2676757142857,638
"342","G7Z",48.4298657185185,-71.2664084518519,2967
"343","G8A",48.4112191050725,-71.2677318949275,6144
"344","G8B",48.5506849810427,-71.647129892575,23110
"345","G8C",48.53619025,-71.6544616283784,3626
"346","G8E",48.6042459859649,-71.6697200280702,4041
"347","G8G",48.4109810561798,-71.8464761498127,4107
"348","G8H",48.5138375991561,-72.2278714388186,10395
"349","G8J",48.6262687268519,-72.4180604675926,4239
"350","G8K",48.6578437732426,-72.440534138322,10278
"351","G8L",48.8803233763764,-72.2172632462462,14925
"352","G8M",48.8726726530343,-72.3402067915567,5448
"353","G8N",48.3786195857988,-71.6860391893491,2432
"354","G8P",49.9135247461538,-74.3695875358974,7623
"355","G8T",46.378761076972,-72.5278176189567,28709
"356","G8V",46.3976114273973,-72.5218692684931,9248
"357","G8W",46.3927146627566,-72.5785453489736,9774
"358","G8Y",46.3535791737705,-72.6072476344262,32179
"359","G8Z",46.3468694261275,-72.5686268211509,13471
"360","G9A",46.3413824411474,-72.5558261938675,20643
"361","G9B",46.3088034905933,-72.6349205397974,15040
"362","G9C",46.392512703125,-72.592777125,2317
"363","G9H",46.3255528149606,-72.413589324147,12435
"364","G9N",46.5634065384615,-72.742639813803,16740
"365","G9P",46.5185597135741,-72.7453802627646,11166
"366","G9R",46.5938811871345,-72.7989752573099,2143
"367","G9T",46.6150318671329,-72.6909656756993,16306
"368","G9X",47.431175894964,-72.7809407323741,10914
"369","H1A",45.6721322508591,-73.4999711076747,32432
"370","H1B",45.6401964795918,-73.5040925351474,19854
"371","H1C",45.6557248685121,-73.5578197647059,13659
"372","H1E",45.6377812281713,-73.5855247429984,43294
"373","H1G",45.6102565267857,-73.6229906240079,48604
"374","H1H",45.5906619195011,-73.6364674036281,35648
"375","H1J",45.6104402406015,-73.5759984160401,10345
"376","H1K",45.6067688409091,-73.5463093042929,32364
"377","H1L",45.601245964182,-73.5198240629235,32996
"378","H1M",45.5869342336449,-73.5568957420561,28928
"379","H1N",45.5755535873606,-73.5370565724907,23028
"380","H1P",45.5959045474138,-73.593295262931,17748
"381","H1R",45.5851383309481,-73.6074691288014,29843
"382","H1S",45.5804957833333,-73.5809919571429,24490
"383","H1T",45.5730193551724,-73.5697600103448,30202
"384","H1V",45.5654419063136,-73.5407195274949,21093
"385","H1W",45.5414690433145,-73.5486215254237,28422
"386","H1X",45.5548331440329,-73.5699146748971,29859
"387","H1Y",45.5522910209644,-73.5780489895178,25836
"388","H1Z",45.5742539421875,-73.614700975,35439
"389","H2A",45.5616857343413,-73.5988684902808,18846
"390","H2B",45.5721290671642,-73.652855641791,17361
"391","H2C",45.5596761345291,-73.6542642892377,17382
"392","H2E",45.5521993601036,-73.610911253886,23986
"393","H2G",45.5460178149883,-73.589501088993,21367
"394","H2H",45.5370283333333,-73.5742892666667,13689
"395","H2J",45.5307468299663,-73.5815156043771,25531
"396","H2K",45.5326920903427,-73.5514866510903,27414
"397","H2L",45.5183164583333,-73.5610190430108,22941
"398","H2M",45.554830255132,-73.6327241964809,18054
"399","H2N",45.5395958814815,-73.6476929074074,6028
"400","H2P",45.5449461939891,-73.6327307677596,14047
"401","H2R",45.5417529477807,-73.6206876762402,21532
"402","H2S",45.5344229673469,-73.6086831530612,25931
"403","H2T",45.5281670502513,-73.5927347638191,15911
"404","H2V",45.5188639649635,-73.6092003007299,30465
"405","H2W",45.5212023723724,-73.5810627747748,11071
"406","H2X",45.5220571747748,-73.5589481873874,19432
"407","H2Y",45.5136779268293,-73.5462388069106,3457
"408","H2Z",45.5108728125,-73.5571533798077,1961
"409","H3A",45.5057232789256,-73.573253427686,3784
"410","H3B",45.5045999548105,-73.567390744898,339
"411","H3C",45.4950104831776,-73.581959917757,6617
"412","H3E",45.4651698493724,-73.5432000083682,18318
"413","H3G",45.5021643445122,-73.5794236890244,7149
"414","H3H",45.4960828148148,-73.5794765555555,17737
"415","H3J",45.490481620462,-73.5680348910891,10244
"416","H3K",45.4816444428904,-73.5642903682984,13924
"417","H3L",45.5471957926357,-73.6682538023256,19704
"418","H3M",45.5438494540943,-73.6836456923077,15091
"419","H3N",45.530908178273,-73.630480816156,29284
